Horodateur	Write 5 long sentences about anything/ Ecris 5 phrases longues a propos de n'importe quoi (French or English)	What language did you use? / Quelle avez-vous utilisez?	Length
25/09/2021 22:34:24	The Pollution is destroying the world, it’s enough for our environnement.Every day is an opportunity to be better.You must work hardly to accomplish your dreams.Only God can give you the true love.One day you’ll leave this heart so live a life you will remember.	English	262
26/09/2021 09:00:14	You'll never know the endless nights, the rhyming of the rain Or how it feels to fall behind and watch you call his name.Pack up and leave everything Don't you see what I can bring.Can't keep this beating heart at bay Set my midnight sorrow free.We sit in bars and raise our drinks to growing old Oh, I'm in love with you and you will never know.But if I can't have you, I'll walk this life alone Spare you the rising storms and let the rivers flow.	English	449
26/09/2021 09:11:29	Benh à vrai dire je n’ai pas de projet. J’ai toujours voulu faire deux ou trois trucs quelques fois pour me faire de l’argent mais sans succès. Ça reste bloqué coincé que dans ma tête. J’aurais bien aimé par faire le premier pas mais où et comment commencer je ne sais pas. Je ne sais vraiment pas ce que je raconte mais j’espère que ça vaille la  peine et que j’ai été d’une aide nécessaire.	French / Francais	392
26/09/2021 09:26:15	Depuis enfant, j’ai toujours aimé dessiner et peindre parce que cela m’aide à montrer ma créativité et à me détendre.  J’ai toujours aimé voyager mais malheureusement je n’ai visité que trois pays , mais je souhaite en visité plus dans le futur.  Quand j’étais enfant, j’avais l’habitude de faire de la pâtisserie mais en grandissant, j’ai arrêté. Dans mon temps libre, j’ai pris l’habitude à  jouer au échecs avec mon frère.  Mon plus grand rêve est de visiter tous les états des États Unis et d’écrire un livre sur mon voyage.	French / Francais	528
26/09/2021 09:29:47	Les projets j'en suis du genre fan j'en ai participé à quelques un mais bon. Personnellement j'ai un tas en suspension j'oserais les faire voir le jours un de ces quatres. Celui de Fabrice en est un et j'espère que ca vaut le coup et que l'on ne fait pas faux bonds. Je ne sais vraiment pas trop quoi dire en ce moment je suis à cours de phrase. Et enfin la dernière il etait temps, ah oui j'ai aussi des projets en tête à l'instant j'y travaille contente de t'avoir aider.	French / Francais	473
26/09/2021 09:43:37	Monsieur voulez vous jouer du tennis avec moi aujourd'hui sur le nouveau terrain de sport qui a été construit par les meilleurs ouvriers du pays ? Hier nous avons passé la journée dans un parc d'attraction où le thème principal s'intéresse aux extraterrestres. Les livres nous aident à apprendre de nouveaux mots de vocabulaire et ils nous permettent d'augmenter notre imagination avec divers scénarios parfois farfelus. Certaines personnes aiment jouer à la guitare, d'autres préfères le piano, d'autres encore la batterie mais une minorité adore jouer de la flûte, surtout la flûte traversière. Il n'est pas idiot de croire à l'existence des extra-terrestres car ce serait un gaspillage de planètes si la seule planète habitée est la Terre. 	French / Francais	743
26/09/2021 09:52:48	Si l'argent est roi les sentiments ne sont plus maîtres.L'homme est un loup pour l'homme.O rage, O désespoir, O vieillesse ennemie, n'ai je donc tant vécu que pour cette infamie?À trop vouloir mélanger opinions et pensée on dit ce qui doit être pensé et on pense ce qui doit être dit.La vérité c'est que ceux qui sourient le plus sont trop souvent ceux qui souffent le plus.	French / Francais	374
26/09/2021 09:53:08	When his alarm rang this morning, he shut it off, rolled in his bed and fell back to sleep.This Sunday morning, in Valley Stream, citizens are enjoying the last sunny weekend before cold seasons hit.During his chemistry quiz, Jared got stuck and spent 12 minutes in a single question.Last month, during the drought, Fiona’s mother kept her sprinklers on overnight.While she was doing laundry, Miss O’Conell found a dead rat behind the drying machine.	English	450
26/09/2021 09:53:17	Today is Sunday, and I have a game tomorrow.I already did my homework, so I feel good about that.I have school tomorrow and I have a super long week.I have 3 kickboxing practice, kickboxing is fun because I get to do it with friends.That is all I had to say.	English	258
26/09/2021 10:10:34	I have loved watching anime ever since I was a kid.In my opinion chick-fil-a makes the best food.I always try to do my best in school because I want to make my family proud.The best video game ever made is dying light.I was never a big fan of reading.	English	251
26/09/2021 10:37:58	Football is an outdoor game in which the ball has to be kicked with the feet in order to score a goal using football between two opposing teams. Football is also called as “Soccer” in North America, South Africa and Australia. The game of football has two teams and each team has 11 players. There is “Goal Post” constructed at the both ends of a big ground where a big net is tied with that goalpost. Each player competes with his opponent and tries to kick the ball into opponent’s goal post which is called as “Goal”. 	English	521
26/09/2021 10:40:57	My lunch time during my Senior year is an hour long.A couple of weeks ago, I read The New York Times and I realized that why it’s the bestseller newspaper.The world is growing more because people all around the globe are embracing and learning about each other’s culture.Our school provides plenty of opportunities to learn different cultures.It makes me feel small when you keep things from me, like you don't trust me. 	English	421
26/09/2021 11:04:11	I just open this for no reason, ok maybe I had a reason,  but  I have absolutely  no idea what to talk about  , so what should I talk about life ,hobbies, my mental health and life or all of the above. well my life is going smoothly  thank you  for asking, for hobbies I just eat go to school study  play cod and then sleep if their something else I can't think of it right now , ok now, for mental health yeah  , I don't think I have that anymore, and yeah one more thing school better make me rich cause I don't like it.	English	522
26/09/2021 11:06:14	I like to eat my pizza with pineapple bug my family members hate pineapple on pizza. I like go mix weird food combinations but my family members thinks I’m weird for it. I prefer cat than dogs but my brother prefers dogs instead of cats. I love staying inside the house but my mother wants me to go outside more. I don’t like math but my brother loves math.	English	357
26/09/2021 11:09:41	Messi,qui a été transféré du Barça au PSG, est critiqué pour n'avoir toujours pas marqué ou tout simplement être décisif avec son nouveau Club. Lebron James a plusieurs objectis pour terminer sa carrière en beauté parmi lesquels : Remporter une 5e bague de Champion NBA et être le meilleur scoreur de toute l'histoire de la NBA. Novak Djokovic a égalé cette année l'un des plus grands records du Tennis à savoir le plus grand nombre de grand Chelem. Cette année, le pilote Britannique de l'écurie Mercedes Lewis Hamilton doit se frotter à la concurrence de Max Verstappen de Red Bull pour aller cherché un autre titre de Champion du Monde. Le jeune pilote Français Fabio Quartararo est dans la dernière ligne droite pour décrocher son 1er titre de Champion du Monde de Moto GP	French / Francais	776
26/09/2021 11:11:26	I like to eat ice cream. But ice cream doesn’t love my stomach because I’m lactose intolerant. That still wont stop me from eating it, of course. My favorite ice cream is cookies and cream. But the most favorite is dulce de leche a caramel flavor from Hagaan Daz	English	262
